Implementation,Function,Size,Processes,AvgTime
MPI block point2point,transpose,2048,8,0.008109264
MPI block point2point,transpose,2048,16,0.003385015
MPI block point2point,transpose,2048,32,0.001753120
MPI block point2point,transpose,2048,64,0.001029148
MPI block point2point,transpose,4096,2,0.178280015
MPI block point2point,transpose,4096,4,0.083545694
MPI block point2point,transpose,4096,8,0.041446428
MPI block point2point,transpose,4096,16,0.017961445
MPI block point2point,transpose,4096,32,0.007422824
MPI block point2point,transpose,4096,64,0.004748807
MPI block all2all,transpose,32,2,0.000001249
MPI block all2all,transpose,32,4,0.000000653
MPI block all2all,transpose,32,8,0.000000362
MPI block all2all,transpose,32,16,0.000000315
MPI block all2all,transpose,32,32,0.000000763
MPI block all2all,transpose,64,2,0.000004869
MPI block all2all,transpose,64,4,0.000002427
MPI block all2all,transpose,64,8,0.000001345
MPI block all2all,transpose,64,16,0.000000763
MPI block all2all,transpose,64,32,0.000000596
MPI block all2all,transpose,64,64,0.000000634
MPI block all2all,transpose,128,2,0.000036969
MPI block all2all,transpose,128,4,0.000009656
MPI block all2all,transpose,128,8,0.000005412
MPI block all2all,transpose,128,16,0.000002742
MPI block all2all,transpose,128,32,0.000002022
MPI block all2all,transpose,128,64,0.000001297
MPI block all2all,transpose,256,2,0.000202131
MPI block all2all,transpose,256,4,0.000099678
MPI block all2all,transpose,256,8,0.000048060
MPI block all2all,transpose,256,16,0.000011611
MPI block all2all,transpose,256,32,0.000005541
MPI block all2all,transpose,256,64,0.000003829
MPI block all2all,transpose,512,2,0.001497998
MPI block all2all,transpose,512,4,0.000550017
MPI block all2all,transpose,512,8,0.000271101
MPI block all2all,transpose,512,16,0.000136681
MPI block all2all,transpose,512,32,0.000061951
MPI block all2all,transpose,512,64,0.000017252
MPI block all2all,transpose,1024,2,0.008859849
MPI block all2all,transpose,1024,4,0.003448400
MPI block all2all,transpose,1024,8,0.001395106
MPI block all2all,transpose,1024,16,0.001005745
MPI block all2all,transpose,1024,32,0.000290189
MPI block all2all,transpose,1024,64,0.000168357
MPI block all2all,transpose,2048,2,0.046060724
MPI block all2all,transpose,2048,4,0.021314864
MPI block all2all,transpose,2048,8,0.009404664
MPI block all2all,transpose,2048,16,0.003752680
MPI block all2all,transpose,2048,32,0.001883907
MPI block all2all,transpose,2048,64,0.000789461
MPI block all2all,transpose,4096,2,0.176006207
MPI block all2all,transpose,4096,4,0.083757291
MPI block all2all,transpose,4096,8,0.044170136
MPI block all2all,transpose,4096,16,0.019454999
MPI block all2all,transpose,4096,32,0.007708564
MPI block all2all,transpose,4096,64,0.004874101
SEQ,checkSym,32,1,0.000000291
SEQ,checkSym,64,1,0.000001181
SEQ,checkSym,128,1,0.000004282
SEQ,checkSym,256,1,0.000019137
SEQ,checkSym,512,1,0.000115876
SEQ,checkSym,1024,1,0.000439596
SEQ,checkSym,2048,1,0.002449502
SEQ,checkSym,4096,1,0.017887316
MPI,checkSym,32,2,0.000016441
MPI,checkSym,32,4,0.000017166
MPI,checkSym,32,8,0.000035205
MPI,checkSym,32,16,0.000039587
MPI,checkSym,32,32,0.000026531
MPI,checkSym,64,2,0.000036588
MPI,checkSym,64,4,0.000043216
MPI,checkSym,64,8,0.000030503
MPI,checkSym,64,16,0.000040884
MPI,checkSym,64,32,0.000043397
MPI,checkSym,64,64,0.000056748
MPI,checkSym,128,2,0.000139918
MPI,checkSym,128,4,0.000082111
MPI,checkSym,128,8,0.000085664
MPI,checkSym,128,16,0.000090570
MPI,checkSym,128,32,0.000094419
MPI,checkSym,128,64,0.000107732
MPI,checkSym,256,2,0.000427151
MPI,checkSym,256,4,0.000288415
MPI,checkSym,256,8,0.000258675
MPI,checkSym,256,16,0.000273328
MPI,checkSym,256,32,0.000278811
MPI,checkSym,256,64,0.000292859
MPI,checkSym,512,2,0.002557034
MPI,checkSym,512,4,0.002132177
